state,year,expenditure
AL,2010,847072000
AK,2010,180888000
AZ,2010,944795000
AR,2010,267405000
CA,2010,7832767000
CO,2010,1180741000
CT,2010,888949000
DE,2010,168511000
DC,2010,470217000
FL,2010,1994860000
GA,2010,1691603000
HI,2010,317942000
ID,2010,126433000
IL,2010,2224414000
IN,2010,1186421000
IA,2010,706667000
KS,2010,482901000
KY,2010,575277000
LA,2010,713675000
ME,2010,137516000
MD,2010,3139254000
MA,2010,2749926000
MI,2010,2031479000
MN,2010,831754000
MS,2010,443625000
MO,2010,1087432000
MT,2010,207827000
NE,2010,400660000
NV,2010,174247000
NH,2010,311455000
NJ,2010,1075872000
NM,2010,422868000
NY,2010,4948442000
NC,2010,2465260000
ND,2010,204049000
OH,2010,2051857000
OK,2010,400731000
OR,2010,696272000
PA,2010,3128420000
RI,2010,428738000
SC,2010,660415000
SD,2010,131165000
TN,2010,938237000
TX,2010,4416323000
UT,2010,562349000
VT,2010,132792000
VA,2010,1199244000
WA,2010,1358061000
WV,2010,194834000
WI,2010,1335621000
WY,2010,55319000
AS,2010,0
GU,2010,5555000
PR,2010,125123000
,2010,32350000
AL,2011,898422000
AK,2011,185942000
AZ,2011,997700000
AR,2011,282628000
CA,2011,8225420000
CO,2011,1292081000
CT,2011,945705000
DE,2011,188765000
DC,2011,493469000
FL,2011,2125648000
GA,2011,1808679000
HI,2011,330838000
ID,2011,142364000
IL,2011,2352326000
IN,2011,1271364000
IA,2011,724608000
KS,2011,511048000
KY,2011,596081000
LA,2011,727510000
ME,2011,139983000
MD,2011,3416687000
MA,2011,2949264000
MI,2011,2161520000
MN,2011,898741000
MS,2011,460962000
MO,2011,1121330000
MT,2011,195267000
NE,2011,412756000
NV,2011,165437000
NH,2011,359839000
NJ,2011,1141570000
NM,2011,405339000
NY,2011,5288932000
NC,2011,2668842000
ND,2011,211057000
OH,2011,2221827000
OK,2011,444722000
OR,2011,739733000
PA,2011,3315363000
RI,2011,459321000
SC,2011,620533000
SD,2011,136305000
TN,2011,1016915000
TX,2011,4661517000
UT,2011,627180000
VT,2011,137303000
VA,2011,1390412000
WA,2011,1502284000
WV,2011,210899000
WI,2011,1442933000
WY,2011,57549000
AS,2011,0
GU,2011,5626000
PR,2011,163853000
,2011,21994000
AL,2012,830538000
AK,2012,181983000
AZ,2012,1039424000
AR,2012,289364000
CA,2012,8401638000
CO,2012,1338888000
CT,2012,946289000
DE,2012,185842000
DC,2012,501534000
FL,2012,2179352000
GA,2012,1882308000
HI,2012,335704000
ID,2012,146326000
IL,2012,2362224000
IN,2012,1306462000
IA,2012,718281000
KS,2012,527122000
KY,2012,586240000
LA,2012,699228000
ME,2012,120072000
MD,2012,3359741000
MA,2012,3214549000
MI,2012,2219505000
MN,2012,864938000
MS,2012,476078000
MO,2012,1098287000
MT,2012,196721000
NE,2012,438303000
NV,2012,153325000
NH,2012,366337000
NJ,2012,1113109000
NM,2012,400952000
NY,2012,5352978000
NC,2012,2681840000
ND,2012,215642000
OH,2012,2128968000
OK,2012,437180000
OR,2012,722421000
PA,2012,3239240000
RI,2012,495366000
SC,2012,636534000
SD,2012,129200000
TN,2012,1025283000
TX,2012,4651322000
UT,2012,622244000
VT,2012,120226000
VA,2012,1379440000
WA,2012,1475365000
WV,2012,202118000
WI,2012,1483983000
WY,2012,65611000
AS,2012,0
GU,2012,6131000
PR,2012,151532000
,2012,25719000
AL,2013,837871000
AK,2013,184472000
AZ,2013,1065136000
AR,2013,294572000
CA,2013,8357891000
CO,2013,1253466000
CT,2013,1059367000
DE,2013,197262000
DC,2013,524241000
FL,2013,2171626000
GA,2013,1956245000
HI,2013,343802000
ID,2013,143728000
IL,2013,2501413000
IN,2013,1336343000
IA,2013,714366000
KS,2013,545364000
KY,2013,550941000
LA,2013,671580000
ME,2013,104573000
MD,2013,3433145000
MA,2013,3532767000
MI,2013,2267080000
MN,2013,901404000
MS,2013,416772000
MO,2013,1074632000
MT,2013,185996000
NE,2013,444917000
NV,2013,153427000
NH,2013,354296000
NJ,2013,1173474000
NM,2013,403776000
NY,2013,5519542000
NC,2013,2739920000
ND,2013,219115000
OH,2013,2168267000
OK,2013,420067000
OR,2013,704764000
PA,2013,3361374000
RI,2013,479162000
SC,2013,648137000
SD,2013,117361000
TN,2013,1032124000
TX,2013,4813050000
UT,2013,688972000
VT,2013,121110000
VA,2013,1419504000
WA,2013,1526001000
WV,2013,196492000
WI,2013,1419426000
WY,2013,65490000
AS,2013,0
GU,2013,6043000
PR,2013,135659000
,2013,20041000
AL,2014,812803000
AK,2014,174431000
AZ,2014,1047329000
AR,2014,285691000
CA,2014,8403770000
CO,2014,1232376000
CT,2014,1062741000
DE,2014,193242000
DC,2014,543149000
FL,2014,2272556000
GA,2014,1950990000
HI,2014,335189000
ID,2014,142772000
IL,2014,2327098000
IN,2014,1308856000
IA,2014,773760000
KS,2014,547813000
KY,2014,533834000
LA,2014,665754000
ME,2014,124688000
MD,2014,3573167000
MA,2014,3500516000
MI,2014,2242864000
MN,2014,919257000
MS,2014,410543000
MO,2014,1050665000
MT,2014,181127000
NE,2014,454744000
NV,2014,153571000
NH,2014,365537000
NJ,2014,1130474000
NM,2014,412428000
NY,2014,5638584000
NC,2014,2814943000
