,Year,source,Expenditures,Percentage
0,1953,All R&D expenditures,0.3,100
1,1954,All R&D expenditures,0.3,100
2,1955,All R&D expenditures,0.3,100
3,1956,All R&D expenditures,0.4,100
4,1957,All R&D expenditures,0.4,100
5,1958,All R&D expenditures,0.5,100
6,1959,All R&D expenditures,0.5,100
7,1960,All R&D expenditures,0.6,100
8,1961,All R&D expenditures,0.8,100
9,1962,All R&D expenditures,0.9,100
10,1963,All R&D expenditures,1.1,100
11,1964,All R&D expenditures,1.3,100
12,1965,All R&D expenditures,1.5,100
13,1966,All R&D expenditures,1.7,100
14,1967,All R&D expenditures,1.9,100
15,1968,All R&D expenditures,2.1,100
16,1969,All R&D expenditures,2.2,100
17,1970,All R&D expenditures,2.3,100
18,1971,All R&D expenditures,2.5,100
19,1972,All R&D expenditures,2.6,100
20,1973,All R&D expenditures,2.9,100
21,1974,All R&D expenditures,3.0,100
22,1975,All R&D expenditures,3.4,100
23,1976,All R&D expenditures,3.7,100
24,1977,All R&D expenditures,4.1,100
25,1978,All R&D expenditures,4.6,100
26,1979,All R&D expenditures,5.4,100
27,1980,All R&D expenditures,6.1,100
28,1981,All R&D expenditures,6.8,100
29,1982,All R&D expenditures,7.3,100
30,1983,All R&D expenditures,7.9,100
31,1984,All R&D expenditures,8.6,100
32,1985,All R&D expenditures,9.7,100
33,1986,All R&D expenditures,10.9,100
34,1987,All R&D expenditures,12.2,100
35,1988,All R&D expenditures,13.5,100
36,1989,All R&D expenditures,15.0,100
37,1990,All R&D expenditures,16.3,100
38,1991,All R&D expenditures,17.6,100
39,1992,All R&D expenditures,18.8,100
40,1993,All R&D expenditures,20.0,100
41,1994,All R&D expenditures,21.0,100
42,1995,All R&D expenditures,22.2,100
43,1996,All R&D expenditures,23.1,100
44,1997,All R&D expenditures,24.4,100
45,1998,All R&D expenditures,25.9,100
46,1999,All R&D expenditures,27.5,100
47,2000,All R&D expenditures,30.1,100
48,2001,All R&D expenditures,32.8,100
49,2002,All R&D expenditures,36.4,100
50,2003,All R&D expenditures,41.5,100
51,2004,All R&D expenditures,44.8,100
52,2005,All R&D expenditures,47.5,100
53,2006,All R&D expenditures,49.6,100
54,2007,All R&D expenditures,51.6,100
55,2008,All R&D expenditures,54.1,100
56,2009,All R&D expenditures,57.3,100
57,2010,All R&D expenditures,61.3,100
58,2011,All R&D expenditures,65.3,100
59,2012,All R&D expenditures,65.9,100
60,2013,All R&D expenditures,67.1,100
61,2014,All R&D expenditures,67.3,100
62,2015,All R&D expenditures,68.7,100
63,2016,All R&D expenditures,71.9,100
64,2017,All R&D expenditures,75.3,100
65,2018,All R&D expenditures,79.2,100
66,2019,All R&D expenditures,83.6,100
67,2020,All R&D expenditures,86.4,100
68,2021,All R&D expenditures,89.8,100
69,2022,All R&D expenditures,97.8,100
70,1953,Federal government,0.1,54.12
71,1954,Federal government,0.2,55.17
72,1955,Federal government,0.2,54.17
73,1956,Federal government,0.2,57.26
74,1957,Federal government,0.2,55.85
75,1958,Federal government,0.3,55.7
76,1959,Federal government,0.3,58.17
77,1960,Federal government,0.4,62.69
78,1961,Federal government,0.5,65.53
79,1962,Federal government,0.6,67.81
80,1963,Federal government,0.8,70.31
81,1964,Federal government,0.9,71.92
82,1965,Federal government,1.1,72.8
83,1966,Federal government,1.3,73.53
84,1967,Federal government,1.4,73.35
85,1968,Federal government,1.6,73.15
86,1969,Federal government,1.6,71.91
87,1970,Federal government,1.6,70.54
88,1971,Federal government,1.7,68.96
89,1972,Federal government,1.8,68.25
90,1973,Federal government,2.0,68.83
91,1974,Federal government,2.0,67.22
92,1975,Federal government,2.3,67.12
93,1976,Federal government,2.5,67.36
94,1977,Federal government,2.7,67.03
95,1978,Federal government,3.1,66.14
96,1979,Federal government,3.6,67.05
97,1980,Federal government,4.1,67.59
98,1981,Federal government,4.6,66.76
99,1982,Federal government,4.8,65.1
100,1983,Federal government,5.0,63.3
101,1984,Federal government,5.4,63
102,1985,Federal government,6.1,62.6
103,1986,Federal government,6.7,61.42
104,1987,Federal government,7.3,60.42
105,1988,Federal government,8.2,60.86
106,1989,Federal government,9.0,60.04
107,1990,Federal government,9.6,59.18
108,1991,Federal government,10.2,58.21
109,1992,Federal government,11.1,58.95
110,1993,Federal government,12.0,59.94
111,1994,Federal government,12.7,60.16
112,1995,Federal government,13.3,60.13
113,1996,Federal government,13.8,60.06
114,1997,Federal government,14.3,58.74
115,1998,Federal government,15.2,58.6
116,1999,Federal government,16.1,58.5
117,2000,Federal government,17.5,58.33
118,2001,Federal government,19.2,58.62
119,2002,Federal government,21.9,60.07
120,2003,Federal government,25.3,61.02
121,2004,Federal government,28.3,63.12
122,2005,Federal government,30.0,63.02
123,2006,Federal government,30.9,62.26
124,2007,Federal government,31.2,60.56
125,2008,Federal government,32.1,59.32
126,2009,Federal government,33.4,58.38
127,2010,Federal government,37.5,61.15
128,2011,Federal government,40.8,62.46
129,2012,Federal government,40.2,61.05
130,2013,Federal government,39.5,58.87
131,2014,Federal government,38.0,56.5
132,2015,Federal government,37.9,55.21
133,2016,Federal government,38.9,54.06
134,2017,Federal government,40.3,53.55
135,2018,Federal government,41.9,52.96
136,2019,Federal government,44.5,53.25
137,2020,Federal government,46.2,53.43
138,2021,Federal government,49.2,54.76
139,2022,Federal government,54.1,55.25
140,1953,State and local government,0.0,14.51
141,1954,State and local government,0.0,14.48
142,1955,State and local government,0.0,15.06
143,1956,State and local government,0.1,14.25
