Rank,Institution,All R&D expenditures,Computer and information sciences,"Geosciences, atmospheric sciences, and ocean sciences",Life sciences,Mathematics and statistics,Physical sciences,Psychology,Social sciences,Sciences nec,Engineering,All non-S&E fields,year,FundsSource,
,All institutions,5312956000,604318000,189304000,955046000,120513000,525167000,69940000,76852000,106933000,2607806000,57077000,2016,DOD,
2,Georgia Institute of Technology,396202000,73458000,376000,989000,330000,9072000,1649000,264000,0,309587000,477000,2016,DOD,1000
3,"Pennsylvania State U., University Park and Hershey Medical Center",215261000,33188000,4570000,2938000,22412000,10085000,30000,2200000,0,137074000,2764000,2016,DOD,
4,Uniformed Services U. of the Health Sciences,145347000,0,0,134700000,0,0,10647000,0,0,0,0,2016,DOD,
5,Massachusetts Institute of Technology,135565000,21078000,3070000,5548000,1005000,6392000,194000,524000,525000,96679000,550000,2016,DOD,
6,"U. Texas, Austin",134638000,35472000,109000,4633000,588000,31233000,260000,463000,0,60396000,1484000,2016,DOD,
7,"U. Washington, Seattle",85472000,3919000,25834000,23457000,1118000,3147000,165000,723000,0,26767000,342000,2016,DOD,
8,Stanford U.,82737000,12413000,795000,22715000,730000,14362000,1277000,843000,0,29511000,91000,2016,DOD,
9,"U. Maryland, College Park",82419000,16724000,413000,2262000,648000,15452000,6396000,10994000,598000,25707000,3225000,2016,DOD,
10,"U. Michigan, Ann Arbor",79997000,243000,76000,18438000,729000,6583000,534000,2187000,0,51204000,3000,2016,DOD,
11,"U. California, San Diego",77522000,1622000,36109000,14322000,1085000,7033000,561000,2843000,0,13888000,59000,2016,DOD,
12,U. Dayton,76886000,575000,0,0,0,1507000,0,0,33000,74528000,243000,2016,DOD,
13,U. Southern California,74345000,53477000,458000,4569000,50000,2305000,590000,0,220000,10293000,2383000,2016,DOD,
14,Utah State U.,60221000,0,219000,96000,0,59000,0,259000,0,59581000,7000,2016,DOD,
15,"Colorado State U., Fort Collins",60101000,941000,1164000,54195000,536000,617000,0,0,0,2394000,254000,2016,DOD,
16,Duke U.,57998000,892000,3538000,25859000,2675000,1108000,0,846000,0,22918000,162000,2016,DOD,
17,U. Pennsylvania,55334000,4098000,110000,22158000,357000,1212000,6719000,6091000,0,14062000,527000,2016,DOD,
18,Harvard U.,53126000,506000,909000,13834000,127000,14571000,175000,1425000,14073000,7506000,0,2016,DOD,
19,Carnegie Mellon U.,52563000,30281000,0,0,65000,1379000,774000,1409000,449000,18206000,0,2016,DOD,
20,Naval Postgraduate School,52304000,4622000,4202000,135000,2907000,8251000,138000,3085000,6595000,16884000,5485000,2016,DOD,
21,"U. Hawaii, Manoa",48656000,13383000,13700000,1550000,0,3158000,0,36000,6079000,10655000,95000,2016,DOD,
22,U.S. Air Force Academy,44934000,2925000,0,155000,0,3677000,0,1434000,0,34466000,2277000,2016,DOD,
23,"U. Illinois, Urbana-Champaign",42948000,6348000,256000,2264000,231000,4317000,683000,378000,3000,27205000,1263000,2016,DOD,
24,Virginia Polytechnic Institute and State U.,42177000,3581000,0,6032000,187000,1607000,6000,0,0,30654000,110000,2016,DOD,
25,"U. Alabama, Huntsville",42163000,20491000,9000,0,0,1308000,0,1757000,0,18013000,585000,2016,DOD,
26,"U. Pittsburgh, Pittsburgh",42008000,901000,193000,29333000,0,5665000,0,55000,1343000,4450000,68000,2016,DOD,
27,Woods Hole Oceanographic Institution,40952000,0,22155000,0,0,0,0,0,0,18797000,0,2016,DOD,
28,"U. California, Los Angeles",38600000,2410000,817000,6673000,4989000,8598000,1988000,1023000,647000,10587000,868000,2016,DOD,
29,Northwestern U.,38566000,202000,33000,6933000,0,12615000,933000,0,3664000,13333000,853000,2016,DOD,
30,"U. California, Berkeley",35827000,35000,35000,3490000,610000,9735000,305000,1269000,340000,20008000,0,2016,DOD,
31,Columbia U. in the City of New York,35113000,8702000,2086000,8276000,681000,2645000,0,610000,0,11503000,610000,2016,DOD,
32,"Purdue U., West Lafayette",34541000,1842000,12000,1203000,455000,2371000,496000,1049000,0,25872000,1241000,2016,DOD,
