Rank,Institution,All R&D expenditures,Computer and information sciences,"Geosciences, atmospheric sciences, and ocean sciences",Life sciences,Mathematics and statistics,Physical sciences,Psychology,Social sciences,Sciences nec,Engineering,All non-S&E fields,FundsSource,State,system,HBC,HHE,year
,All institutions,2214161000,35770000,85203000,1343245000,8669000,128397000,19177000,81560000,34928000,348807000,128405000,AllOther,,,,,2016
,All institutions,4210563000,90288000,109478000,2569302000,8844000,139153000,13084000,50569000,50378000,1055444000,124023000,Business,,,,,2016
,All institutions,38793542000,1442771000,1992990000,21798334000,444419000,3286816000,761433000,898576000,465015000,6583476000,1119712000,FedGovFunds,,,,,2016
,All institutions,17974962000,399965000,614647000,9700749000,170414000,1044829000,291319000,908025000,411136000,2335527000,2098351000,InstitutionalFunds,,,,,2016
,All institutions,4614800000,59588000,127763000,3038475000,23601000,200852000,84105000,282278000,51489000,359441000,387208000,Nonprofit,,,,,2016
,All institutions,4025280000,49502000,157693000,2437745000,25714000,93518000,49603000,145563000,63690000,699032000,303220000,StateLocalGov,,,,,2016
1,U. Texas M. D. Anderson Cancer Center,125560000,0,0,123407000,215000,500000,879000,559000,0,0,0,AllOther,Texas,Public,No,No,2016
7,U. Texas M. D. Anderson Cancer Center,89454000,0,0,88201000,55000,759000,241000,198000,0,0,0,Business,Texas,Public,No,No,2016
76,U. Texas M. D. Anderson Cancer Center,155044000,0,0,135072000,5261000,7559000,5591000,1561000,0,0,0,FedGovFunds,Texas,Public,No,No,2016
22,U. Texas M. D. Anderson Cancer Center,192922000,0,0,177015000,4639000,3032000,6586000,1650000,0,0,0,InstitutionalFunds,Texas,Public,No,No,2016
34,U. Texas M. D. Anderson Cancer Center,40814000,0,0,40450000,33000,17000,0,314000,0,0,0,Nonprofit,Texas,Public,No,No,2016
1,U. Texas M. D. Anderson Cancer Center,248301000,0,0,228598000,8311000,3436000,4251000,3705000,0,0,0,StateLocalGov,Texas,Public,No,No,2016
2,New York U.,125514000,1261000,0,70192000,112000,270000,229000,5545000,0,40349000,7556000,AllOther,New York,Private,No,No,2016
41,New York U.,29805000,538000,34000,26154000,62000,429000,157000,369000,0,633000,1429000,Business,New York,Private,No,No,2016
30,New York U.,350355000,9782000,15000,267917000,7918000,14847000,19526000,5022000,0,7456000,17872000,FedGovFunds,New York,Private,No,No,2016
14,New York U.,218838000,2748000,41000,178437000,1415000,770000,1622000,6567000,0,5903000,21335000,InstitutionalFunds,New York,Private,No,No,2016
16,New York U.,73603000,3105000,55000,47750000,594000,1044000,2185000,6657000,0,3359000,8854000,Nonprofit,New York,Private,No,No,2016
75,New York U.,11624000,0,0,8116000,0,0,0,126000,0,2082000,1300000,StateLocalGov,New York,Private,No,No,2016
