Table 6+32+34,,,,,,
"Higher education R&D expenditures at institutions in both survey populations, by state, institutional control, system, and institution: FY 2022",,,,,,
(Dollars in thousands),,,,,,
,Institution,All R&D expenditures,State,system,HBC,HHE
0,Alabama A&M U.,9611,Alabama,Public,Yes,No
1,Alabama State U.,3178,Alabama,Public,Yes,No
3,"Auburn U., Auburn",304439,Alabama,Public,No,No
4,"Auburn U., Montgomery",698,Alabama,Public,No,No
5,Jacksonville State U.,197,Alabama,Public,No,No
6,Troy U.,2517,Alabama,Public,No,No
8,"U. Alabama, Birmingham",713480,Alabama,Public,No,No
9,"U. Alabama, Huntsville",169532,Alabama,Public,No,No
10,"U. Alabama, Tuscaloosa",163204,Alabama,Public,No,No
11,U. North Alabama,650,Alabama,Public,No,No
12,U. South Alabama,43491,Alabama,Public,No,No
13,U. West Alabama,604,Alabama,Public,No,No
14,"Alabama C., Osteopathic Medicine",236,Alabama,Private,No,No
15,Oakwood U.,340,Alabama,Private,No,No
16,Tuskegee U.,21941,Alabama,Private,Yes,No
17,"U. Alaska, Anchorage",21024,Alaska,Public (U. Alaska System),No,No
18,"U. Alaska, Fairbanks",202516,Alaska,Public (U. Alaska System),No,No
19,"U. Alaska, Southeast",1570,Alaska,Public (U. Alaska System),No,No
20,Alaska Pacific U.,1607,Alaska,Private,No,No
21,Arizona Board of Regents,1688293,Arizona,Public,No,No
22,Arizona State U.,797224,Arizona,Public,No,No
23,Northern Arizona U.,66729,Arizona,Public,No,Yes
24,U. Arizona,824340,Arizona,Public,No,Yes
25,Dine C.,2091,Arizona,Public,No,No
26,Sonoran U. Health Sciences,520,Arizona,Private,No,No
28,"Arkansas State U., Jonesboro",8214,Arkansas,Public,No,No
29,Arkansas Tech U.,921,Arkansas,Public,No,No
30,Southern Arkansas U.,281,Arkansas,Public,No,No
32,U. Arkansas for Medical Sciences,205493,Arkansas,Public,No,No
33,"U. Arkansas, Fayetteville",184080,Arkansas,Public,No,No
34,"U. Arkansas, Little Rock",7530,Arkansas,Public,No,No
35,"U. Arkansas, Pine Bluff",7506,Arkansas,Public,Yes,No
36,U. Central Arkansas,3684,Arkansas,Public,No,No
37,Arkansas C. of Health Education,301,Arkansas,Private,No,No
38,Hendrix C.,709,Arkansas,Private,No,No
39,Ouachita Baptist U.,309,Arkansas,Private,No,No
41,"California Polytechnic State U., San Luis Obispo",33155,California,Public,No,No
42,"California State Polytechnic U., Humboldt",15612,California,Public,No,Yes
43,"California State Polytechnic U., Pomona",7909,California,Public,No,Yes
44,"California State U., Bakersfield",4815,California,Public,No,Yes
45,"California State U., Channel Islands",3377,California,Public,No,Yes
46,"California State U., Chico",4177,California,Public,No,Yes
47,"California State U., Dominguez Hills",4230,California,Public,No,Yes
48,"California State U., East Bay",19035,California,Public,No,Yes
49,"California State U., Fresno",12603,California,Public,No,Yes
50,"California State U., Fullerton",16642,California,Public,No,Yes
51,"California State U., Long Beach",17807,California,Public,No,Yes
52,"California State U., Los Angeles",9839,California,Public,No,Yes
53,"California State U., Maritime Academy",526,California,Public,No,No
54,"California State U., Monterey Bay",8975,California,Public,No,Yes
55,"California State U., Northridge",19638,California,Public,No,Yes
56,"California State U., Sacramento",23795,California,Public,No,Yes
57,"California State U., San Bernardino",11929,California,Public,No,Yes
58,"California State U., San Marcos",9238,California,Public,No,Yes
59,"California State U., Stanislaus",1966,California,Public,No,Yes
60,San Diego State U.,123856,California,Public,No,Yes
61,San Francisco State U.,36617,California,Public,No,Yes
62,San Jose State U.,71695,California,Public,No,Yes
63,Sonoma State U.,3774,California,Public,No,Yes
64,Naval Postgraduate School,64055,California,Public,No,No
66,"U. California, Berkeley",981035,California,Public,No,No
67,"U. California, Davis",883807,California,Public,No,No
68,"U. California, Irvine",534947,California,Public,No,Yes
69,"U. California, Los Angeles",1536197,California,Public,No,No
70,"U. California, Merced",48147,California,Public,No,Yes
71,"U. California, Office of the President",54640,California,Public,No,No
72,"U. California, Riverside",199135,California,Public,No,Yes
73,"U. California, San Diego",1533357,California,Public,No,No
74,"U. California, San Francisco",1805950,California,Public,No,No
75,"U. California, Santa Barbara",278897,California,Public,No,Yes
76,"U. California, Santa Cruz",176760,California,Public,No,Yes
77,Azusa Pacific U.,3389,California,Private,No,Yes
78,Biola U.,3260,California,Private,No,No
79,California Institute of Technology,478142,California,Private,No,No
80,California Lutheran U.,627,California,Private,No,Yes
81,Chapman U.,34212,California,Private,No,No
82,Charles R. Drew U. of Medicine and Science,14581,California,Private,No,Yes
83,Dominican U. California,901,California,Private,No,No
84,High Tech High Graduate School of Ed.,6203,California,Private,No,No
85,La Sierra U.,2246,California,Private,No,Yes
86,Life Chiropractic C.-West,350,California,Private,No,No
87,Loma Linda U.,15517,California,Private,No,Yes
88,Loyola Marymount U.,12773,California,Private,No,No
89,Marshall B. Ketchum U.,1559,California,Private,No,No
90,Mills C.,439,California,Private,No,No
91,Occidental C.,4139,California,Private,No,No
92,Palo Alto U.,426,California,Private,No,No
93,Pepperdine U.,3775,California,Private,No,No
94,Point Loma Nazarene U.,565,California,Private,No,No
95,Santa Clara U.,4225,California,Private,No,No
96,Scripps Research Institute,492639,California,Private,No,No
97,Southern California U. of Health Sciences,246,California,Private,No,No
98,Stanford U.,1384555,California,Private,No,No
99,The Claremont Colleges,21783,California,Private,No,No
100,Claremont Graduate U.,8382,California,Private,No,No
101,Claremont McKenna C.,5893,California,Private,No,No
102,Harvey Mudd C.,3350,California,Private,No,No
103,Keck Graduate Institute,1282,California,Private,No,No
104,Pitzer C.,287,California,Private,No,No
105,Pomona C.,2589,California,Private,No,No
107,"Touro U., California",2561,California,Private,No,No
108,U. of the Pacific,1835,California,Private,No,No
109,U. San Diego,10143,California,Private,No,No
110,U. San Francisco,2657,California,Private,No,No
111,U. Southern California,1039905,California,Private,No,No
112,Western U. of Health Sciences,9029,California,Private,No,No
113,Westmont C.,340,California,Private,No,No
114,Whittier C.,346,California,Private,No,No
115,Colorado Mesa U.,802,Colorado,Public,No,No
116,Colorado School of Mines,98404,Colorado,Public,No,No
118,"Colorado State U., Fort Collins",456911,Colorado,Public,No,No
119,"Colorado State U., Pueblo",3117,Colorado,Public,No,Yes
120,Fort Lewis C.,2765,Colorado,Public,No,No
121,Metropolitan State U. of Denver,666,Colorado,Public,No,No
123,U. Colorado Anschutz Medical Campus,611358,Colorado,Public,No,No
124,U. Colorado Boulder,611380,Colorado,Public,No,No
125,U. Colorado Colorado Springs,7761,Colorado,Public,No,No
126,U. Colorado Denver,18080,Colorado,Public,No,No
127,U. Northern Colorado,3308,Colorado,Public,No,No
128,U.S. Air Force Academy,36506,Colorado,Public,No,No
129,Western Colorado U.,826,Colorado,Public,No,No
130,Colorado C.,3646,Colorado,Private,No,No
131,Regis U.,744,Colorado,Private,No,No
132,U. Denver,45561,Colorado,Private,No,No
134,Central Connecticut State U.,1035,Connecticut,Public,No,No
135,Eastern Connecticut State U.,1734,Connecticut,Public,No,No
136,Southern Connecticut State U.,6286,Connecticut,Public,No,No
137,Western Connecticut State U.,399,Connecticut,Public,No,No
138,U. Connecticut,367557,Connecticut,Public,No,No
139,U.S. Coast Guard Academy,1019,Connecticut,Public,No,No
140,Connecticut C.,1875,Connecticut,Private,No,No
141,Fairfield U.,1097,Connecticut,Private,No,No
142,Hartford International U. for Religion and Peace,1105,Connecticut,Private,No,No
143,Quinnipiac U.,1069,Connecticut,Private,No,No
144,Sacred Heart U.,3741,Connecticut,Private,No,No
145,"Trinity C., Hartford",1620,Connecticut,Private,No,No
146,U. Hartford,1090,Connecticut,Private,No,No
147,U. New Haven,4548,Connecticut,Private,No,No
148,Wesleyan U.,10101,Connecticut,Private,No,No
149,Yale U.,1191201,Connecticut,Private,No,No
150,Delaware State U.,29016,Delaware,Public,Yes,No
151,U. Delaware,368107,Delaware,Public,No,No
152,National Defense U.,3920,District of Columbia,Public,No,No
153,U. of the District of Columbia,10779,District of Columbia,Public,Yes,No
154,American U.,67616,District of Columbia,Private,No,No
155,Catholic U. of America,38191,District of Columbia,Private,No,No
156,Gallaudet U.,6360,District of Columbia,Private,No,No
157,George Washington U.,275483,District of Columbia,Private,No,No
158,Georgetown U.,313220,District of Columbia,Private,No,No
159,Howard U.,67594,District of Columbia,Private,Yes,No
160,Florida A&M U.,50636,Florida,Public (State U. Florida Board of Governors),Yes,No
161,Florida Atlantic U.,61748,Florida,Public (State U. Florida Board of Governors),No,Yes
162,Florida Gulf Coast U.,9896,Florida,Public (State U. Florida Board of Governors),No,No
163,Florida International U.,281665,Florida,Public (State U. Florida Board of Governors),No,Yes
164,Florida Polytechnic U.,1725,Florida,Public (State U. Florida Board of Governors),No,No
165,Florida State U.,355986,Florida,Public (State U. Florida Board of Governors),No,No
166,New C. Florida,1252,Florida,Public (State U. Florida Board of Governors),No,No
167,U. Central Florida,221488,Florida,Public (State U. Florida Board of Governors),No,Yes
168,U. Florida,1085834,Florida,Public (State U. Florida Board of Governors),No,No
169,U. North Florida,18394,Florida,Public (State U. Florida Board of Governors),No,No
170,U. South Florida,405166,Florida,Public (State U. Florida Board of Governors),No,No
171,U. West Florida,38870,Florida,Public (State U. Florida Board of Governors),No,No
172,Barry U.,367,Florida,Private,No,No
173,Bethune-Cookman U.,707,Florida,Private,No,No
174,Eckerd C.,596,Florida,Private,No,No
175,Embry-Riddle Aeronautical U.,28650,Florida,Private,No,No
176,Florida Institute of Technology,17706,Florida,Private,No,No
177,Jacksonville U.,162,Florida,Private,No,No
178,Keiser U.,485,Florida,Private,No,No
179,Nova Southeastern U.,31189,Florida,Private,No,Yes
180,Rollins C.,532,Florida,Private,No,No
181,Stetson U.,580,Florida,Private,No,No
182,U. Miami,439300,Florida,Private,No,No
183,U. Tampa,886,Florida,Private,No,No
