,Field2,Field1,Field,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Field3
2,Computer and information sciences,Science,Computer and information sciences,1638047000,1742486000,1822321000,2067869000,1927578000,1962053000,2079440000,2192315000,2397625000,2637165000,2924673000,2952940000,3224949000,
4,"Geosciences, atmospheric sciences, and ocean sciences",Science,Atmospheric science and meteorology,429354000,481275000,476729000,493385000,501517000,573913000,626676000,623504000,608041000,590385000,612496000,624278000,668918000,Atmospheric science and meteorology
5,"Geosciences, atmospheric sciences, and ocean sciences",Science,Geological and earth sciences,1083969000,1142630000,1168945000,1163446000,1159067000,1113536000,997666000,1084087000,1131923000,1121261000,1159394000,1241621000,1370650000,Geological and earth sciences
6,"Geosciences, atmospheric sciences, and ocean sciences",Science,Ocean sciences and marine sciences,1021857000,1049630000,1025472000,1051418000,1071370000,1049538000,1097963000,1098634000,1061402000,1100768000,1136721000,1035249000,1211130000,Ocean sciences and marine sciences
7,"Geosciences, atmospheric sciences, and ocean sciences",Science,"Geosciences, atmospheric sciences, and ocean sciences nec",456561000,479639000,501865000,486780000,495138000,509118000,360511000,341653000,358187000,373505000,372804000,393436000,439537000,"Geosciences, atmospheric sciences, and ocean sciences nec"
9,Life sciences,Science,Agricultural sciences,3011150000,3116840000,3300098000,3347687000,3381853000,3479612000,3287685000,3274597000,3307251000,3426773000,3625348000,3552705000,3935731000,Agricultural sciences
10,Life sciences,Science,Biological and biomedical sciences,10946456000,11855468000,11611632000,11679165000,11699720000,11703939000,13027525000,13723154000,14517866000,15390991000,15766819000,16566463000,18161442000,Biological and biomedical sciences
11,Life sciences,Science,Health sciences,19268085000,20398377000,20330413000,20453217000,20707633000,21298214000,22387230000,23990079000,25773405000,27265024000,27991752000,29859263000,31869957000,Health sciences
12,Life sciences,Science,Natural resources and conservation,0,0,0,0,0,0,693318000,691653000,779523000,841914000,901705000,935265000,1012919000,Natural resources and conservation
13,Life sciences,Science,Life sciences nec,1758558000,1966837000,1958028000,2076696000,2149535000,2287340000,1463318000,1418792000,1228346000,1301982000,1329255000,1435828000,1518158000,Life sciences nec
14,Mathematics and statistics,Science,Mathematics and statistics,592200000,640471000,674461000,670801000,657656000,640828000,679295000,700251000,750328000,769019000,800583000,772890000,879526000,
16,Physical sciences,Science,Astronomy and astrophysics,573229000,583847000,706544000,558635000,566965000,626589000,621738000,648813000,668227000,734987000,780433000,740819000,813900000,Astronomy and astrophysics
17,Physical sciences,Science,Chemistry,1748465000,1783604000,1748904000,1704070000,1723214000,1757480000,1773336000,1791492000,1866133000,1965378000,1928978000,1996074000,2126741000,Chemistry
18,Physical sciences,Science,Materials science,0,0,0,0,0,0,172271000,227825000,254447000,259316000,252531000,285940000,286461000,Materials science
19,Physical sciences,Science,Physics,1998732000,2108340000,1985954000,2097089000,2054772000,2037057000,2108936000,2155653000,2206576000,2327059000,2435368000,2463514000,2669076000,Physics
20,Physical sciences,Science,Physical sciences nec,301346000,293025000,268723000,286997000,268788000,227440000,200023000,226301000,236766000,263938000,275132000,250822000,271405000,Physical sciences nec
21,Psychology,Science,Psychology,1077655000,1159180000,1179323000,1128328000,1143065000,1183561000,1222998000,1246513000,1261399000,1328432000,1364798000,1329505000,1443894000,
23,Social sciences,Science,Anthropology,0,0,0,0,0,0,95932000,110926000,118227000,124390000,119377000,108148000,132764000,Anthropology
24,Social sciences,Science,Economics,352890000,387036000,383405000,408264000,428076000,453590000,395587000,433997000,455889000,458086000,558855000,549735000,667707000,Economics
25,Social sciences,Science,Political science and government,374903000,370694000,390074000,427435000,426375000,459265000,383986000,412095000,438040000,447709000,425391000,423893000,488480000,Political science and government
26,Social sciences,Science,"Sociology, demography, and population studies",419895000,433484000,461011000,482284000,504735000,524200000,503290000,551845000,608697000,610104000,594076000,553001000,616142000,"Sociology, demography, and population studies"
27,Social sciences,Science,Social sciences nec,852254000,871793000,819166000,854251000,851080000,878125000,982619000,1045671000,1100815000,1165365000,1253670000,1192871000,1260347000,Social sciences nec
28,Sciences nec,Science,Sciences nec,1156223000,1090771000,1101802000,1170999000,1043648000,1078081000,1074768000,946393000,889792000,915559000,953701000,1024565000,1156452000,
30,"Aerospace, aeronautical, and astronautical engineering",Engineering,"Aerospace, aeronautical, and astronautical engineering",635234000,667757000,662444000,689553000,662479000,732092000,881968000,990725000,1010493000,1170171000,1293584000,1452239000,1647191000,
